Jisoo Park,010-8745-9852,jis,1
Minho Choi,010-2574-6351,min,0
Hana Lee,010-9654-7412,hani,0
Yeji Kang,010-4569-8741,yeji,1
Seoyeon Kim,010-3654-9874,seo,0
Nayeon Shin,010-1425-6987,nay,0
Hoseok Im,010-9854-3652,hobi,0
Sungmin Yoon,010-7845-3256,smin,0
Taeyong Jung,010-2145-6321,tae,0
Jinwoo Han,010-7852-3654,jin,0
Jiwon Lim,010-1357-2468,jiwo,0
Jiyoung Cho,010-2748-7536,ji,0
Haeun Kim,010-6345-8765,hae,0
Seojin Lee,010-4927-1543,seoji,0
Yeonwoo Kang,010-7635-1928,yeon,0
Jisung Choi,010-2574-3629,jisung,0
Sooyeon Han,010-3128-7265,sooyeon,0
Kyungho Lim,010-7639-2817,kyungho,0
Yujin Park,010-1247-8392,yujin,0
Jiwon Yoo,010-1837-6294,jiwoo,1
Giseok Kim,010-3568-4729,giseok,0
Yuna Song,010-5729-3645,yuna,0
Taeyang Jang,010-1587-6432,tae,0
